"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 5, 06:00 pm",109.807,0.44122,48.4492,30.9169,570.189,289.872,290,0,0
"Jan 5, 07:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 08:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 09:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 10:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 11:00 pm",0,0,0,0,574,290,290,0,0
"Jan 6, 12:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 01:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 02:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 07:00 am",36.2337,0,0,0,573.775,290,290,384.142,0.305031
"Jan 6, 08:00 am",122.459,0.3591,43.58,27.1881,573.233,290.369,290.305,573.233,0.954692
"Jan 6, 09:00 am",121.359,0.442397,53.6889,33.7848,573.345,290.659,290.09,573.345,0.963006
"Jan 6, 10:00 am",121.359,0.440617,53.473,33.8807,573.326,290.827,290.094,573.326,0.964875
"Jan 6, 11:00 am",121.341,0.439022,53.2716,33.962,573.299,290.978,290.104,573.299,0.964194
"Jan 6, 12:00 pm",121.343,0.439556,53.3369,33.9328,573.271,290.929,290.033,573.271,0.961371
"Jan 6, 01:00 pm",121.341,0.439418,53.3194,33.9392,573.197,290.947,289.975,573.197,0.960695
"Jan 6, 02:00 pm",121.339,0.438904,53.2563,33.966,573.223,290.994,289.924,573.223,0.957772
"Jan 6, 03:00 pm",126.601,0.443801,56.1858,35.7951,573.185,291.015,290.858,573.185,0.907455
"Jan 6, 04:00 pm",126.688,0.443222,56.1509,35.8498,573.422,291.062,291.037,573.422,0.892307
"Jan 6, 05:00 pm",121.359,0.443509,53.8239,34.4871,571.481,290.675,290,0,0
"Jan 6, 06:00 pm",121.359,0.442812,53.7393,34.5261,571.407,290.745,290,0,0
"Jan 6, 07:00 pm",121.359,0.443745,53.8525,34.4762,571.324,290.663,290,0,0
"Jan 6, 08:00 pm",121.422,0.441544,53.613,33.8477,571.23,290.88,290,0,0
"Jan 6, 09:00 pm",121.359,0.439991,53.3971,33.9152,571.122,291.026,290,0,0
"Jan 6, 10:00 pm",121.359,0.441777,53.6137,33.8189,570.996,290.868,290,0,0
"Jan 6, 11:00 pm",121.359,0.443448,53.8165,33.7285,570.842,290.724,290,0,0
"Jan 7, 12:00 am",121.468,0.435235,52.8672,33.4353,570.649,291.514,290,0,0
"Jan 7, 01:00 am",121.395,0.436393,52.9757,33.3549,570.386,291.417,290,0,0
"Jan 7, 02:00 am",121.249,0.437462,53.042,33.2608,569.972,291.332,290,0,0
"Jan 7, 03:00 am",7.07898,0.118447,2.87788,2.06823,572.699,285.95,290,0,0
"Jan 7, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 07:00 am",42.2788,0,0,0,573.768,290,290,394.095,0.338268
"Jan 7, 08:00 am",122.175,0.37221,45.1653,28.5681,573.26,291.145,290.711,573.26,0.95535
"Jan 7, 09:00 am",121.359,0.444724,53.9713,33.6602,573.363,290.44,290.371,573.363,0.963249
"Jan 7, 10:00 am",121.359,0.442712,53.7272,33.7683,573.342,290.63,290.55,573.342,0.965038
"Jan 7, 11:00 am",121.359,0.441274,53.5527,33.8455,573.312,290.767,290.33,573.312,0.964178
"Jan 7, 12:00 pm",121.359,0.440501,53.459,33.8863,573.284,290.841,290.312,573.284,0.96155
"Jan 7, 01:00 pm",121.359,0.439999,53.3979,33.9129,573.209,290.893,290.267,573.209,0.960611
"Jan 7, 02:00 pm",126.753,0.444849,56.3861,35.7748,573.421,290.916,290.222,573.421,0.952713
"Jan 7, 03:00 pm",126.727,0.444054,56.2735,35.8129,573.433,290.987,290.968,573.433,0.899486
"Jan 7, 04:00 pm",126.702,0.443563,56.2004,35.8344,573.423,291.031,291.007,573.423,0.892515
"Jan 7, 05:00 pm",126.672,0.442738,56.0823,35.8731,573.429,291.105,291.081,573.429,0.884824
"Jan 7, 06:00 pm",126.649,0.444749,56.3271,35.7549,573.206,290.929,290.87,573.206,0.894056
"Jan 7, 07:00 pm",121.359,0.439589,53.3481,33.9355,571.903,291.014,290,0,0
"Jan 7, 08:00 pm",121.359,0.440933,53.5113,33.8633,571.828,290.893,290,0,0
"Jan 7, 09:00 pm",121.359,0.442455,53.6959,33.7812,571.744,290.756,290,0,0
"Jan 7, 10:00 pm",121.359,0.444046,53.889,33.6954,571.649,290.614,290,0,0
"Jan 7, 11:00 pm",121.399,0.440674,53.4975,33.8879,571.541,290.939,290,0,0
"Jan 8, 12:00 am",121.359,0.43646,52.9685,33.3415,571.413,291.339,290,0,0
"Jan 8, 01:00 am",121.359,0.436845,53.0151,33.3212,571.259,291.312,290,0,0
"Jan 8, 02:00 am",121.359,0.437125,53.049,33.3064,571.065,291.299,290,0,0
"Jan 8, 03:00 am",121.359,0.438649,53.234,33.225,570.801,291.174,290,0,0
"Jan 8, 04:00 am",121.359,0.439973,53.3949,33.1543,570.388,291.078,290,0,0
"Jan 8, 05:00 am",8.8634,0.148198,3.60348,2.5789,572.514,284.924,290,0,0
"Jan 8, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 8, 07:00 am",40.4504,0,0,0,573.77,290,290,391.196,0.328519
"Jan 8, 08:00 am",122.274,0.366149,44.4367,28.0815,573.255,291.109,290.719,573.255,0.955094
"Jan 8, 09:00 am",121.359,0.444772,53.9771,33.6584,573.361,290.435,290.366,573.361,0.963161
"Jan 8, 10:00 am",121.359,0.44282,53.7402,33.7629,573.34,290.62,290.54,573.34,0.964914
"Jan 8, 11:00 am",121.359,0.441409,53.569,33.8385,573.31,290.754,290.37,573.31,0.964055
"Jan 8, 12:00 pm",121.359,0.440558,53.4658,33.8831,573.253,290.837,290.357,573.253,0.958513
"Jan 8, 01:00 pm",121.417,0.439594,53.3744,33.9491,573.17,290.939,290.333,573.17,0.957152
"Jan 8, 02:00 pm",126.712,0.443933,56.2518,35.8155,573.413,290.998,290.332,573.413,0.950239
"Jan 8, 03:00 pm",126.673,0.443271,56.1507,35.843,573.386,291.058,291.034,573.386,0.888997
"Jan 8, 04:00 pm",126.636,0.442605,56.0496,35.871,573.363,291.119,291.094,573.363,0.879217
"Jan 8, 05:00 pm",126.605,0.441884,55.9446,35.9038,573.358,291.183,291.159,573.358,0.868979
"Jan 8, 06:00 pm",126.631,0.444583,56.298,35.7586,573.181,290.945,290.886,573.181,0.88964
"Jan 8, 07:00 pm",121.393,0.439339,53.3326,33.9567,572.061,291.031,290,0,0
"Jan 8, 08:00 pm",121.359,0.440705,53.4836,33.8749,571.986,290.904,290,0,0
"Jan 8, 09:00 pm",121.359,0.442072,53.6494,33.8011,571.902,290.782,290,0,0
"Jan 8, 10:00 pm",121.359,0.443399,53.8105,33.7295,571.807,290.664,290,0,0
"Jan 8, 11:00 pm",121.359,0.444413,53.9335,33.6751,571.698,290.576,290,0,0
"Jan 9, 12:00 am",121.359,0.439097,53.2884,33.1998,571.571,291.081,290,0,0
"Jan 9, 01:00 am",121.359,0.439629,53.353,33.1716,571.417,291.041,290,0,0
"Jan 9, 02:00 am",121.359,0.440115,53.4121,33.1458,571.223,291.008,290,0,0
"Jan 9, 03:00 am",121.359,0.440955,53.514,33.1011,570.961,290.947,290,0,0
"Jan 9, 04:00 am",121.359,0.441485,53.5782,33.0729,570.551,290.926,290,0,0
"Jan 9, 05:00 am",10.276,0.171833,4.17776,2.98646,572.337,284.109,290,0,0
"Jan 9, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 9, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 9, 08:00 am",81.0035,0.0729312,8.84393,5.59585,573.504,290.224,290.134,479.102,0.637894
"Jan 9, 09:00 am",121.359,0.444468,53.9402,33.6737,573.365,290.464,290.394,573.365,0.963496
"Jan 9, 10:00 am",121.359,0.442568,53.7096,33.7757,573.343,290.643,290.281,573.343,0.965213
"Jan 9, 11:00 am",121.359,0.441018,53.5216,33.8589,573.314,290.79,290.299,573.314,0.964423
