NOMBRE BARRA,NIVEL TENSIÓN,AÑO,MES,DÍA,HORA,CMg USD,,CMg Promedio,33.2
C.DOMINADOR___220,220,2019,11,9,24,35.3,,,
C.DOMINADOR___220,220,2019,11,10,1,38.2,,,
C.DOMINADOR___220,220,2019,11,10,2,35.5,,,
C.DOMINADOR___220,220,2019,11,10,3,32.6,,,
C.DOMINADOR___220,220,2019,11,10,4,32.3,,,
C.DOMINADOR___220,220,2019,11,10,5,31.4,,,
C.DOMINADOR___220,220,2019,11,10,6,30.8,,,
C.DOMINADOR___220,220,2019,11,10,7,30.8,,,
C.DOMINADOR___220,220,2019,11,10,8,28.9,,,
C.DOMINADOR___220,220,2019,11,10,9,24.1,,,
C.DOMINADOR___220,220,2019,11,10,10,25.9,,,
C.DOMINADOR___220,220,2019,11,10,11,27.3,,,
C.DOMINADOR___220,220,2019,11,10,12,27.8,,,
C.DOMINADOR___220,220,2019,11,10,13,27.8,,,
C.DOMINADOR___220,220,2019,11,10,14,27.8,,,
C.DOMINADOR___220,220,2019,11,10,15,27.8,,,
C.DOMINADOR___220,220,2019,11,10,16,27.8,,,
C.DOMINADOR___220,220,2019,11,10,17,27.8,,,
C.DOMINADOR___220,220,2019,11,10,18,29.5,,,
C.DOMINADOR___220,220,2019,11,10,20,35.6,,,
C.DOMINADOR___220,220,2019,11,7,12,29.4,,,
C.DOMINADOR___220,220,2019,11,7,21,34.3,,,
C.DOMINADOR___220,220,2019,11,7,1,30.6,,,
C.DOMINADOR___220,220,2019,11,7,10,26.3,,,
C.DOMINADOR___220,220,2019,11,7,19,34.3,,,
C.DOMINADOR___220,220,2019,11,10,19,34.8,,,
C.DOMINADOR___220,220,2019,11,10,21,36.3,,,
C.DOMINADOR___220,220,2019,11,10,22,38.7,,,
C.DOMINADOR___220,220,2019,11,10,24,34.4,,,
C.DOMINADOR___220,220,2019,11,12,1,38.6,,,
C.DOMINADOR___220,220,2019,11,12,2,38.6,,,
C.DOMINADOR___220,220,2019,11,12,3,38.6,,,
C.DOMINADOR___220,220,2019,11,12,4,38.6,,,
C.DOMINADOR___220,220,2019,11,12,5,38.6,,,
C.DOMINADOR___220,220,2019,11,12,6,38.6,,,
C.DOMINADOR___220,220,2019,11,12,7,38.6,,,
C.DOMINADOR___220,220,2019,11,12,8,34.1,,,
C.DOMINADOR___220,220,2019,11,12,9,29.3,,,
C.DOMINADOR___220,220,2019,11,12,10,28.1,,,
C.DOMINADOR___220,220,2019,11,12,11,28,,,
C.DOMINADOR___220,220,2019,11,12,12,28.3,,,
C.DOMINADOR___220,220,2019,11,12,13,28.3,,,
C.DOMINADOR___220,220,2019,11,12,14,28.3,,,
C.DOMINADOR___220,220,2019,11,12,15,28.3,,,
C.DOMINADOR___220,220,2019,11,12,16,28.3,,,
C.DOMINADOR___220,220,2019,11,12,17,28.3,,,
C.DOMINADOR___220,220,2019,11,12,18,28.3,,,
C.DOMINADOR___220,220,2019,11,12,19,30,,,
C.DOMINADOR___220,220,2019,11,12,20,37.5,,,
C.DOMINADOR___220,220,2019,11,12,21,37.5,,,
C.DOMINADOR___220,220,2019,11,12,22,37.5,,,
C.DOMINADOR___220,220,2019,11,12,23,37.5,,,
C.DOMINADOR___220,220,2019,11,12,24,37.5,,,
C.DOMINADOR___220,220,2019,11,13,1,33.5,,,
C.DOMINADOR___220,220,2019,11,13,2,30.9,,,
C.DOMINADOR___220,220,2019,11,13,3,30.9,,,
C.DOMINADOR___220,220,2019,11,13,4,30.7,,,
C.DOMINADOR___220,220,2019,11,13,5,30.1,,,
C.DOMINADOR___220,220,2019,11,13,6,32.6,,,
C.DOMINADOR___220,220,2019,11,13,7,34.3,,,
C.DOMINADOR___220,220,2019,11,13,8,30,,,
C.DOMINADOR___220,220,2019,11,10,23,38.7,,,
C.DOMINADOR___220,220,2019,11,13,9,26.5,,,
C.DOMINADOR___220,220,2019,11,13,10,26.6,,,
C.DOMINADOR___220,220,2019,11,13,11,26.6,,,
C.DOMINADOR___220,220,2019,11,13,12,28,,,
C.DOMINADOR___220,220,2019,11,13,13,28.3,,,
C.DOMINADOR___220,220,2019,11,13,14,28.3,,,
C.DOMINADOR___220,220,2019,11,13,15,28.3,,,
C.DOMINADOR___220,220,2019,11,13,16,28.3,,,
C.DOMINADOR___220,220,2019,11,13,17,28.3,,,
C.DOMINADOR___220,220,2019,11,13,18,28.3,,,
C.DOMINADOR___220,220,2019,11,13,19,31,,,
C.DOMINADOR___220,220,2019,11,13,20,33.5,,,
C.DOMINADOR___220,220,2019,11,13,21,33.5,,,
C.DOMINADOR___220,220,2019,11,13,22,33.5,,,
C.DOMINADOR___220,220,2019,11,13,23,33.5,,,
C.DOMINADOR___220,220,2019,11,13,24,33.5,,,
C.DOMINADOR___220,220,2019,11,14,9,28.9,,,
C.DOMINADOR___220,220,2019,11,14,10,30.1,,,
C.DOMINADOR___220,220,2019,11,14,11,30.1,,,
C.DOMINADOR___220,220,2019,11,14,16,27.3,,,
C.DOMINADOR___220,220,2019,11,14,19,30.1,,,
C.DOMINADOR___220,220,2019,11,14,20,36.9,,,
C.DOMINADOR___220,220,2019,11,14,12,30.1,,,
C.DOMINADOR___220,220,2019,11,14,17,27.1,,,
C.DOMINADOR___220,220,2019,11,14,18,27.1,,,
C.DOMINADOR___220,220,2019,11,14,13,30.1,,,
C.DOMINADOR___220,220,2019,11,14,1,39.8,,,
C.DOMINADOR___220,220,2019,11,14,2,39.8,,,
C.DOMINADOR___220,220,2019,11,14,14,30.1,,,
C.DOMINADOR___220,220,2019,11,14,15,29.5,,,
C.DOMINADOR___220,220,2019,11,14,3,35.8,,,
C.DOMINADOR___220,220,2019,11,14,5,36.2,,,
C.DOMINADOR___220,220,2019,11,14,6,39.8,,,
C.DOMINADOR___220,220,2019,11,14,7,39.8,,,
C.DOMINADOR___220,220,2019,11,14,8,39,,,
C.DOMINADOR___220,220,2019,11,14,21,38.4,,,
C.DOMINADOR___220,220,2019,11,14,22,38.4,,,
C.DOMINADOR___220,220,2019,11,14,4,34.8,,,
C.DOMINADOR___220,220,2019,11,14,24,38.4,,,
C.DOMINADOR___220,220,2019,11,15,11,30.2,,,
C.DOMINADOR___220,220,2019,11,15,12,31,,,
C.DOMINADOR___220,220,2019,11,15,13,31.1,,,
C.DOMINADOR___220,220,2019,11,15,14,30.1,,,
C.DOMINADOR___220,220,2019,11,15,15,30.8,,,
C.DOMINADOR___220,220,2019,11,15,9,29.5,,,
C.DOMINADOR___220,220,2019,11,15,20,36.2,,,
C.DOMINADOR___220,220,2019,11,15,21,38.6,,,
C.DOMINADOR___220,220,2019,11,15,22,38.6,,,
C.DOMINADOR___220,220,2019,11,15,23,37.4,,,
C.DOMINADOR___220,220,2019,11,15,16,32.3,,,
C.DOMINADOR___220,220,2019,11,15,17,32.3,,,
C.DOMINADOR___220,220,2019,11,15,18,32.3,,,
C.DOMINADOR___220,220,2019,11,15,19,34.8,,,
C.DOMINADOR___220,220,2019,11,15,24,34.8,,,
C.DOMINADOR___220,220,2019,11,15,1,36.3,,,
C.DOMINADOR___220,220,2019,11,15,2,36.3,,,
C.DOMINADOR___220,220,2019,11,15,3,36.3,,,
C.DOMINADOR___220,220,2019,11,15,4,36.3,,,
C.DOMINADOR___220,220,2019,11,15,5,36.3,,,
C.DOMINADOR___220,220,2019,11,15,6,36.3,,,
C.DOMINADOR___220,220,2019,11,15,7,36.3,,,
C.DOMINADOR___220,220,2019,11,15,8,36.3,,,
C.DOMINADOR___220,220,2019,11,15,10,29.7,,,
C.DOMINADOR___220,220,2019,11,16,16,28.7,,,
C.DOMINADOR___220,220,2019,11,16,17,28.1,,,
C.DOMINADOR___220,220,2019,11,16,18,28.1,,,
C.DOMINADOR___220,220,2019,11,14,23,38.4,,,
